film_id;title;description;release_year;language_id;length;rating
1;ACADEMY DINOSAUR;A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies;2006;1;86;PG
2;ACE GOLDFINGER;A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China;2006;1;48;G
3;ADAPTATION HOLES;A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory;2006;1;50;NC-17
7;AIRPLANE SIERRA;A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat;2006;1;62;PG-13
8;AIRPORT POLLOCK;A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India;2006;1;54;R
10;ALADDIN CALENDAR;A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China;2006;1;63;NC-17
14;ALICE FANTASIA;A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia;2006;1;94;NC-17
15;ALIEN CENTER;A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention;2006;1;46;NC-17
17;ALONE TRIP;A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House;2006;1;82;R
18;ALTER VICTORY;A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies;2006;1;57;PG-13
20;AMELIE HELLFIGHTERS;A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon;2006;1;79;R
22;AMISTAD MIDSUMMER;A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California;2006;1;85;G
23;ANACONDA CONFESSIONS;A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia;2006;1;92;R
25;ANGELS LIFE;A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin;2006;1;74;G
26;ANNIE IDENTITY;A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park;2006;1;86;G
28;ANTHEM LUKE;A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park;2006;1;91;PG-13
30;ANYTHING SAVANNAH;A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House;2006;1;82;R
31;APACHE DIVINE;A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat;2006;1;92;NC-17
34;ARABIA DOGMA;A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria;2006;1;62;NC-17
38;ARK RIDGEMONT;A Beautiful Yarn of a Pioneer And a Monkey who must Pursue a Explorer in The Sahara Desert;2006;1;68;NC-17
39;ARMAGEDDON LOST;A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft;2006;1;99;G
45;ATTRACTION NEWTON;A Astounding Panorama of a Composer And a Frisbee who must Reach a Husband in Ancient Japan;2006;1;83;PG-13
51;BALLOON HOMEWARD;A Insightful Panorama of a Forensic Psychologist And a Mad Cow who must Build a Mad Scientist in The First Manned Space Station;2006;1;75;NC-17
53;BANG KWAI;A Epic Drama of a Madman And a Cat who must Face a A Shark in An Abandoned Amusement Park;2006;1;87;NC-17
55;BARBARELLA STREETCAR;A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery;2006;1;65;G
57;BASIC EASY;A Stunning Epistle of a Man And a Husband who must Reach a Mad Scientist in A Jet Boat;2006;1;90;PG-13
60;BEAST HUNCHBACK;A Awe-Inspiring Epistle of a Student And a Squirrel who must Defeat a Boy in Ancient China;2006;1;89;R
63;BEDAZZLED MARRIED;A Astounding Character Study of a Madman And a Robot who must Meet a Mad Scientist in An Abandoned Fun House;2006;1;73;PG
66;BENEATH RUSH;A Astounding Panorama of a Man And a Monkey who must Discover a Man in The First Manned Space Station;2006;1;53;NC-17
67;BERETS AGENT;A Taut Saga of a Crocodile And a Boy who must Overcome a Technical Writer in Ancient China;2006;1;77;PG-13
69;BEVERLY OUTLAW;A Fanciful Documentary of a Womanizer And a Boat who must Defeat a Madman in The First Manned Space Station;2006;1;85;R
72;BILL OTHERS;A Stunning Saga of a Mad Scientist And a Forensic Psychologist who must Challenge a Squirrel in A MySQL Convention;2006;1;93;PG
77;BIRDS PERDITION;A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California;2006;1;61;G
78;BLACKOUT PRIVATE;A Intrepid Yarn of a Pastry Chef And a Mad Scientist who must Challenge a Secret Agent in Ancient Japan;2006;1;85;PG
82;BLOOD ARGONAUTS;A Boring Drama of a Explorer And a Man who must Kill a Lumberjack in A Manhattan Penthouse;2006;1;71;G
83;BLUES INSTINCT;A Insightful Documentary of a Boat And a Composer who must Meet a Forensic Psychologist in An Abandoned Fun House;2006;1;50;G
85;BONNIE HOLOCAUST;A Fast-Paced Story of a Crocodile And a Robot who must Find a Moose in Ancient Japan;2006;1;63;G
87;BOONDOCK BALLROOM;A Fateful Panorama of a Crocodile And a Boy who must Defeat a Monkey in The Gulf of Mexico;2006;1;76;NC-17
89;BORROWERS BEDAZZLED;A Brilliant Epistle of a Teacher And a Sumo Wrestler who must Defeat a Man in An Abandoned Fun House;2006;1;63;G
90;BOULEVARD MOB;A Fateful Epistle of a Moose And a Monkey who must Confront a Lumberjack in Ancient China;2006;1;63;R
91;BOUND CHEAPER;A Thrilling Panorama of a Database Administrator And a Astronaut who must Challenge a Lumberjack in A Baloon;2006;1;98;PG
92;BOWFINGER GABLES;A Fast-Paced Yarn of a Waitress And a Composer who must Outgun a Dentist in California;2006;1;72;NC-17
97;BRIDE INTRIGUE;A Epic Tale of a Robot And a Monkey who must Vanquish a Man in New Orleans;2006;1;56;G
98;BRIGHT ENCOUNTERS;A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat;2006;1;73;PG-13
101;BROTHERHOOD BLANKET;A Fateful Character Study of a Butler And a Technical Writer who must Sink a Astronaut in Ancient Japan;2006;1;73;R
102;BUBBLE GROSSE;A Awe-Inspiring Panorama of a Crocodile And a Moose who must Confront a Girl in A Baloon;2006;1;60;R
106;BULWORTH COMMANDMENTS;A Amazing Display of a Mad Cow And a Pioneer who must Redeem a Sumo Wrestler in The Outback;2006;1;61;G
107;BUNCH MINDS;A Emotional Story of a Feminist And a Feminist who must Escape a Pastry Chef in A MySQL Convention;2006;1;63;G
108;BUTCH PANTHER;A Lacklusture Yarn of a Feminist And a Database Administrator who must Face a Hunter in New Orleans;2006;1;67;PG-13
109;BUTTERFLY CHOCOLAT;A Fateful Story of a Girl And a Composer who must Conquer a Husband in A Shark Tank;2006;1;89;G
110;CABIN FLASH;A Stunning Epistle of a Boat And a Man who must Challenge a A Shark in A Baloon Factory;2006;1;53;NC-17
111;CADDYSHACK JEDI;A Awe-Inspiring Epistle of a Woman And a Madman who must Fight a Robot in Soviet Georgia;2006;1;52;NC-17
113;CALIFORNIA BIRDS;A Thrilling Yarn of a Database Administrator And a Robot who must Battle a Database Administrator in Ancient India;2006;1;75;NC-17
114;CAMELOT VACATION;A Touching Character Study of a Woman And a Waitress who must Battle a Pastry Chef in A MySQL Convention;2006;1;61;NC-17
116;CANDIDATE PERDITION;A Brilliant Epistle of a Composer And a Database Administrator who must Vanquish a Mad Scientist in The First Manned Space Station;2006;1;70;R
118;CANYON STOCK;A Thoughtful Reflection of a Waitress And a Feminist who must Escape a Squirrel in A Manhattan Penthouse;2006;1;85;R
120;CARIBBEAN LIBERTY;A Fanciful Tale of a Pioneer And a Technical Writer who must Outgun a Pioneer in A Shark Tank;2006;1;92;NC-17
123;CASABLANCA SUPER;A Amazing Panorama of a Crocodile And a Forensic Psychologist who must Pursue a Secret Agent in The First Manned Space Station;2006;1;85;G
125;CASSIDY WYOMING;A Intrepid Drama of a Frisbee And a Hunter who must Kill a Secret Agent in New Orleans;2006;1;61;NC-17
134;CHAMPION FLATLINERS;A Amazing Story of a Mad Cow And a Dog who must Kill a Husband in A Monastery;2006;1;51;PG
135;CHANCE RESURRECTION;A Astounding Story of a Forensic Psychologist And a Forensic Psychologist who must Overcome a Moose in Ancient China;2006;1;70;R
137;CHARADE DUFFEL;A Action-Packed Display of a Man And a Waitress who must Build a Dog in A MySQL Convention;2006;1;66;PG
138;CHARIOTS CONSPIRACY;A Unbelieveable Epistle of a Robot And a Husband who must Chase a Robot in The First Manned Space Station;2006;1;71;R
140;CHEAPER CLYDE;A Emotional Character Study of a Pioneer And a Girl who must Discover a Dog in Ancient Japan;2006;1;87;G
144;CHINATOWN GLADIATOR;A Brilliant Panorama of a Technical Writer And a Lumberjack who must Escape a Butler in Ancient India;2006;1;61;PG
152;CIRCUS YOUTH;A Thoughtful Drama of a Pastry Chef And a Dentist who must Pursue a Girl in A Baloon;2006;1;90;PG-13
154;CLASH FREDDY;A Amazing Yarn of a Composer And a Squirrel who must Escape a Astronaut in Australia;2006;1;81;G
159;CLOSER BANG;A Unbelieveable Panorama of a Frisbee And a Hunter who must Vanquish a Monkey in Ancient India;2006;1;58;R
160;CLUB GRAFFITI;A Epic Tale of a Pioneer And a Hunter who must Escape a Girl in A U-Boat;2006;1;65;PG-13
161;CLUE GRAIL;A Taut Tale of a Butler And a Mad Scientist who must Build a Crocodile in Ancient China;2006;1;70;NC-17
162;CLUELESS BUCKET;A Taut Tale of a Car And a Pioneer who must Conquer a Sumo Wrestler in An Abandoned Fun House;2006;1;95;R
164;COAST RAINBOW;A Astounding Documentary of a Mad Cow And a Pioneer who must Challenge a Butler in The Sahara Desert;2006;1;55;PG
165;COLDBLOODED DARLING;A Brilliant Panorama of a Dentist And a Moose who must Find a Student in The Gulf of Mexico;2006;1;70;G
168;COMANCHEROS ENEMY;A Boring Saga of a Lumberjack And a Monkey who must Find a Monkey in The Gulf of Mexico;2006;1;67;R
169;COMFORTS RUSH;A Unbelieveable Panorama of a Pioneer And a Husband who must Meet a Mad Cow in An Abandoned Mine Shaft;2006;1;76;NC-17
171;COMMANDMENTS EXPRESS;A Fanciful Saga of a Student And a Mad Scientist who must Battle a Hunter in An Abandoned Mine Shaft;2006;1;59;R
173;CONFESSIONS MAGUIRE;A Insightful Story of a Car And a Boy who must Battle a Technical Writer in A Baloon;2006;1;65;PG-13
176;CONGENIALITY QUEST;A Touching Documentary of a Cat And a Pastry Chef who must Find a Lumberjack in A Baloon;2006;1;87;PG-13
184;CORE SUIT;A Unbelieveable Tale of a Car And a Explorer who must Confront a Boat in A Manhattan Penthouse;2006;1;92;PG-13
186;CRAFT OUTFIELD;A Lacklusture Display of a Explorer And a Hunter who must Succumb a Database Administrator in A Baloon Factory;2006;1;64;NC-17
187;CRANES RESERVOIR;A Fanciful Documentary of a Teacher And a Dog who must Outgun a Forensic Psychologist in A Baloon Factory;2006;1;57;NC-17
192;CROSSING DIVORCE;A Beautiful Documentary of a Dog And a Robot who must Redeem a Womanizer in Berlin;2006;1;50;R
196;CRUELTY UNFORGIVEN;A Brilliant Tale of a Car And a Moose who must Battle a Dentist in Nigeria;2006;1;69;G
199;CUPBOARD SINNERS;A Emotional Reflection of a Frisbee And a Boat who must Reach a Pastry Chef in An Abandoned Amusement Park;2006;1;56;R
203;DAISY MENAGERIE;A Fast-Paced Saga of a Pastry Chef And a Monkey who must Sink a Composer in Ancient India;2006;1;84;G
205;DANCES NONE;A Insightful Reflection of a A Shark And a Dog who must Kill a Butler in An Abandoned Amusement Park;2006;1;58;NC-17
208;DARES PLUTO;A Fateful Story of a Robot And a Dentist who must Defeat a Astronaut in New Orleans;2006;1;89;PG-13
209;DARKNESS WAR;A Touching Documentary of a Husband And a Hunter who must Escape a Boy in The Sahara Desert;2006;1;99;NC-17
214;DAUGHTER MADIGAN;A Beautiful Tale of a Hunter And a Mad Scientist who must Confront a Squirrel in The First Manned Space Station;2006;1;59;PG-13
215;DAWN POND;A Thoughtful Documentary of a Dentist And a Forensic Psychologist who must Defeat a Waitress in Berlin;2006;1;57;PG
219;DEEP CRUSADE;A Amazing Tale of a Crocodile And a Squirrel who must Discover a Composer in Australia;2006;1;51;PG-13
222;DESERT POSEIDON;A Brilliant Documentary of a Butler And a Frisbee who must Build a Astronaut in New Orleans;2006;1;64;R
223;DESIRE ALIEN;A Fast-Paced Tale of a Dog And a Forensic Psychologist who must Meet a Astronaut in The First Manned Space Station;2006;1;76;NC-17
224;DESPERATE TRAINSPOTTING;A Epic Yarn of a Forensic Psychologist And a Teacher who must Face a Lumberjack in California;2006;1;81;G
225;DESTINATION JERK;A Beautiful Yarn of a Teacher And a Cat who must Build a Car in A U-Boat;2006;1;76;PG-13
226;DESTINY SATURDAY;A Touching Drama of a Crocodile And a Crocodile who must Conquer a Explorer in Soviet Georgia;2006;1;56;G
227;DETAILS PACKER;A Epic Saga of a Waitress And a Composer who must Face a Boat in A U-Boat;2006;1;88;R
229;DEVIL DESIRE;A Beautiful Reflection of a Monkey And a Dentist who must Face a Database Administrator in Ancient Japan;2006;1;87;R
231;DINOSAUR SECRETARY;A Action-Packed Drama of a Feminist And a Girl who must Reach a Robot in The Canadian Rockies;2006;1;63;R
234;DISTURBING SCARFACE;A Lacklusture Display of a Crocodile And a Butler who must Overcome a Monkey in A U-Boat;2006;1;94;R
235;DIVIDE MONSTER;A Intrepid Saga of a Man And a Forensic Psychologist who must Reach a Squirrel in A Monastery;2006;1;68;PG-13
237;DIVORCE SHINING;A Unbelieveable Saga of a Crocodile And a Student who must Discover a Cat in Ancient India;2006;1;47;G
238;DOCTOR GRAIL;A Insightful Drama of a Womanizer And a Waitress who must Reach a Forensic Psychologist in The Outback;2006;1;57;G
242;DOOM DANCING;A Astounding Panorama of a Car And a Mad Scientist who must Battle a Lumberjack in A MySQL Convention;2006;1;68;R
243;DOORS PRESIDENT;A Awe-Inspiring Display of a Squirrel And a Woman who must Overcome a Boy in The Gulf of Mexico;2006;1;49;NC-17
247;DOWNHILL ENOUGH;A Emotional Tale of a Pastry Chef And a Forensic Psychologist who must Succumb a Monkey in The Sahara Desert;2006;1;47;G
253;DRIFTER COMMANDMENTS;A Epic Reflection of a Womanizer And a Squirrel who must Discover a Husband in A Jet Boat;2006;1;61;PG-13
258;DRUMS DYNAMITE;A Epic Display of a Crocodile And a Crocodile who must Confront a Dog in An Abandoned Amusement Park;2006;1;96;PG
268;EARLY HOME;A Amazing Panorama of a Mad Scientist And a Husband who must Meet a Woman in The Outback;2006;1;96;NC-17
269;EARRING INSTINCT;A Stunning Character Study of a Dentist And a Mad Cow who must Find a Teacher in Nigeria;2006;1;98;R
270;EARTH VISION;A Stunning Drama of a Butler And a Madman who must Outrace a Womanizer in Ancient India;2006;1;85;NC-17
274;EGG IGBY;A Beautiful Documentary of a Boat And a Sumo Wrestler who must Succumb a Database Administrator in The First Manned Space Station;2006;1;67;PG
275;EGYPT TENENBAUMS;A Intrepid Story of a Madman And a Secret Agent who must Outrace a Astronaut in An Abandoned Amusement Park;2006;1;85;PG
282;ENCOUNTERS CURTAIN;A Insightful Epistle of a Pastry Chef And a Womanizer who must Build a Boat in New Orleans;2006;1;92;NC-17
283;ENDING CROWDS;A Unbelieveable Display of a Dentist And a Madman who must Vanquish a Squirrel in Berlin;2006;1;85;NC-17
284;ENEMY ODDS;A Fanciful Panorama of a Mad Scientist And a Woman who must Pursue a Astronaut in Ancient India;2006;1;77;NC-17
285;ENGLISH BULWORTH;A Intrepid Epistle of a Pastry Chef And a Pastry Chef who must Pursue a Crocodile in Ancient China;2006;1;51;PG-13
289;EVE RESURRECTION;A Awe-Inspiring Yarn of a Pastry Chef And a Database Administrator who must Challenge a Teacher in A Baloon;2006;1;66;G
